Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
AC019129.2,0,2,0,0,14,2,0,16,14,0,0
NTN5,8,0,0,0,62,58,0,0,0,0,2
AL391839.3,12,0,0,0,0,18,0,0,4,0,0
AC090796.1,6,0,0,0,17,13,0,0,2,0,0
AC145098.2,5,8,0,6,2,44,0,0,14,0,0
PROKR1,0,0,0,0,34,4,0,0,0,22,0
AC015909.2,0,0,0,0,34,0,0,0,0,0,0
AL592211.2,6,12,0,0,14,2,0,0,4,0,0
LINC02298,0,0,0,0,11,60,0,0,16,0,0
CYYR1,1,0,0,0,0,0,0,0,22,0,0
APOL4,6,18,0,0,16,69,0,0,20,0,1
AC012150.1,1,1,0,0,18,39,0,17,9,0,0
AC098935.2,4,0,0,14,24,5,0,0,0,16,0
CPO,9,11,0,0,48,35,0,52,10,7,2
CAPN14,12,2,1,1,24,6,0,0,14,4,0
AC099542.1,10,0,0,0,10,2,0,0,0,0,0
Z82195.2,2,0,0,0,3,0,0,0,18,0,0
AC008537.2,8,0,0,0,6,0,0,0,6,6,0
AC093334.1,4,0,0,6,24,7,0,0,0,0,0
HNRNPCP7,3,1,0,14,26,7,0,1,0,0,0
AC096992.1,12,2,0,0,5,43,0,0,0,0,0
AL158071.4,0,6,0,0,10,18,0,0,16,6,0
AC053503.1,0,17,0,0,13,11,0,0,14,0,0
AL512310.6,2,4,0,1,8,16,0,0,14,9,0
IHO1,14,14,0,2,22,44,0,0,20,4,2
HNRNPA1P49,0,0,0,42,10,48,0,0,16,0,0
AC026741.1,6,0,0,14,16,0,0,1,2,0,0
CHCHD2P4,22,0,0,8,1,15,0,16,4,10,1
AC010271.1,10,1,0,4,4,21,0,14,4,0,0
AL139021.2,4,8,0,4,37,26,0,0,25,8,2
AL355990.2,14,0,0,0,0,0,0,0,0,0,0
AL365256.1,14,0,0,0,0,0,0,0,0,0,0
LINC00376,14,0,0,0,0,0,0,0,0,0,0
ARF4P2,14,0,0,0,0,2,0,0,0,2,0
LRRC43,9,10,0,12,36,24,1,0,10,6,0
AL355864.1,0,4,0,0,24,28,0,0,6,2,0
LINC02102,14,6,0,6,0,2,0,0,0,16,0
BEND3P1,2,4,0,8,19,9,0,0,6,9,0
AC244131.1,0,0,0,18,1,6,0,0,22,0,0
